,Date,Value,Ticker,pct
1043,2019-09-30,-4.36,WORX,0.07389162561576379
1044,2019-06-30,-4.06,WORX,0.5675675675675675
1045,2019-03-31,-2.59,WORX,9.791666666666666
1046,2018-12-31,-0.24,WORX,-1.5853658536585367
1047,2018-09-30,0.41,WORX,-0.359375
1048,2018-06-30,0.64,WORX,63.0
1049,2018-03-31,0.01,WORX,-1.0017152658662092
1050,2017-12-31,-5.83,WORX,0.27292576419213965
1051,2017-09-30,-4.58,WORX,0.4585987261146496
1052,2017-06-30,-3.14,WORX,1.378787878787879
1053,2017-03-31,-1.32,WORX,-0.380281690140845
1054,2016-12-31,-2.13,WORX,1.4767441860465116
1055,2016-09-30,-0.86,WORX,2.44
1056,2016-06-30,-0.25,WORX,1.0833333333333335
1057,2016-03-31,-0.12,WORX,-0.4
1059,2015-09-30,-0.2,WORX,
1061,2021-09-30,-46.54,SURF,0.49023374959974375
1062,2021-06-30,-31.23,SURF,0.6471518987341771
1063,2021-03-31,-18.96,SURF,-1.6330550918196995
1064,2020-12-31,29.95,SURF,-1.7075360264587762
1065,2020-09-30,-42.33,SURF,0.3199251637043965
1066,2020-06-30,-32.07,SURF,1.055769230769231
1067,2020-03-31,-15.6,SURF,-0.7470817120622568
1068,2019-12-31,-61.68,SURF,0.2794026135656502
1069,2019-09-30,-48.21,SURF,0.43695976154992566
1070,2019-06-30,-33.55,SURF,0.749217935349322
1071,2019-03-31,-19.18,SURF,0.2585301837270342
1072,2018-12-31,-15.24,SURF,83.66666666666667
1073,2018-09-30,-0.18,SURF,-1.0146818923327896
1074,2018-06-30,12.26,SURF,-0.5984277759580741
1075,2018-03-31,30.53,SURF,-3.1216122307157748
1076,2017-12-31,-14.39,SURF,-23.138461538461538
1077,2017-09-30,0.65,SURF,-0.9360865290068829
1078,2017-06-30,10.17,SURF,-3.2205240174672487
1079,2017-03-31,-4.58,SURF,
1082,2021-09-30,-36.7,BXRX,0.520928305014505
1083,2021-06-30,-24.13,BXRX,0.713778409090909
1084,2021-03-31,-14.08,BXRX,-0.6850111856823267
1085,2020-12-31,-44.7,BXRX,0.5035317860746722
1086,2020-09-30,-29.73,BXRX,0.6872871736662882
1087,2020-06-30,-17.62,BXRX,1.792393026941363
1088,2020-03-31,-6.31,BXRX,-0.8557384545038866
1090,2019-09-30,-43.74,BXRX,
1092,2021-09-30,-7.83,LUCD,0.9822784810126581
1094,2020-09-30,-3.95,LUCD,
1096,2021-09-30,-165.7,QS,0.6892649607503312
1097,2021-06-30,-98.09,QS,1.826801152737752
1098,2021-03-31,-34.7,QS,-0.5934864104967197
1099,2020-12-31,-85.36,QS,0.777222569227566
1100,2020-09-30,-48.03,QS,0.5061147695202257
1101,2020-06-30,-31.89,QS,0.9421437271619975
1102,2020-03-31,-16.42,QS,
1105,2021-09-30,-23.97,RBOT,26.872093023255815
1106,2021-06-30,-0.86,RBOT,11.285714285714285
1107,2021-03-31,-0.07,RBOT,-0.9915764139590855
1109,2020-09-30,-8.31,RBOT,
1115,2021-09-30,-0.48,RCHG,0.4117647058823528
1116,2021-06-30,-0.34,RCHG,0.5454545454545456
1117,2021-03-31,-0.22,RCHG,6.333333333333334
1119,2020-09-30,-0.03,RCHG,
1121,2021-09-30,-0.99,PV,0.19277108433734935
1122,2021-06-30,-0.83,PV,-0.011904761904761862
1123,2021-03-31,-0.84,PV,
1127,2021-09-30,-0.73,LFTR,0.6222222222222222
1128,2021-06-30,-0.45,LFTR,3.5
1129,2021-03-31,-0.1,LFTR,-inf
1131,2020-09-30,0.0,LFTR,
1133,2021-09-30,-3.89,CTKB,0.04010695187165769
1134,2021-06-30,-3.74,CTKB,-2.7235023041474653
1136,2020-09-30,2.17,CTKB,3.822222222222222
1137,2020-06-30,0.45,CTKB,
1139,2021-12-31,-0.31,NSTC,1.5833333333333335
1141,2021-06-30,-0.12,NSTC,-inf
1142,2021-03-31,0.0,NSTC,
1145,2021-09-30,-1.1,FMIV,0.25
1146,2021-06-30,-0.88,FMIV,-9.799999999999999
1147,2021-03-31,0.1,FMIV,
